mode,limit,n_evaluated,vendor_acc,date_acc,total_acc,all3_acc,vendor_filled,date_filled,total_filled,avg_ocr_ms,avg_phi_ms,avg_donut_ms,donut_called
01_ocr_phi,50,50,32.00%,74.00%,48.00%,14.00%,100.00%,88.00%,100.00%,4270.98,113796.60,,9/50
02_donut_only,50,50,36.00%,52.00%,12.00%,4.00%,74.00%,80.00%,18.00%,,,6272.61,50/50
03_real_pipeline,50,50,32.00%,76.00%,48.00%,14.00%,100.00%,94.00%,100.00%,4086.01,108907.68,10381.90,9/50
04_both,50,50,32.00%,74.00%,48.00%,14.00%,100.00%,88.00%,100.00%,3941.00,106851.37,7488.52,9/50
